gameId,roundNumber,condition,BDASize,BDAColor,BDAOtherColor,BDAItem,redBDAUtterance
v2J2BjboP65oSJMoy,5,color21,size,color,othercolor,item,color
v2J2BjboP65oSJMoy,10,color21,size,color,othercolor,item,color
TXdqz7vwbJSeKpJHS,46,color21,size,color,othercolor,item,color
TXdqz7vwbJSeKpJHS,59,color21,size,color,othercolor,item,color
g8tXfbQJ5w3Yo5kXq,18,color21,size,color,othercolor,item,color
g8tXfbQJ5w3Yo5kXq,64,color21,size,color,othercolor,item,color
Drac2QY2EJGirNSty,15,color21,size,color,othercolor,item,color
Drac2QY2EJGirNSty,24,color21,size,color,othercolor,item,color
ncA5wQm2wMWx6Qw4m,41,color21,size,color,othercolor,item,color
ncA5wQm2wMWx6Qw4m,42,color21,size,color,othercolor,item,color
RdyH6CPjXhDjFiBn6,33,color21,size,color,othercolor,item,color
RdyH6CPjXhDjFiBn6,39,color21,size,color,othercolor,item,color
ri9WkdRrTvaRgjAbd,32,color21,size,color,othercolor,item,color
ri9WkdRrTvaRgjAbd,71,color21,size,color,othercolor,item,color
xiA5WJQ9BBwufErLv,14,color21,size,color,othercolor,item,color
8mztCuTtp44PNj9aR,24,color21,size,color,othercolor,item,color
8mztCuTtp44PNj9aR,30,color21,size,color,othercolor,item,color
PLenL62JMPMEiyEZd,39,color21,size,color,othercolor,item,color
PLenL62JMPMEiyEZd,46,color21,size,color,othercolor,item,color
MjtKysa8uTdkgCZhY,70,color21,size,color,othercolor,item,color
5FBHB2gcEAxFrnBTj,41,color21,size,color,othercolor,item,color
5FBHB2gcEAxFrnBTj,68,color21,size,color,othercolor,item,color
krPu8jL2ifeQiJtiz,39,color21,size,color,othercolor,item,color
krPu8jL2ifeQiJtiz,41,color21,size,color,othercolor,item,color
L3TwC8ZM9Kcs7QBx4,10,color21,size,color,othercolor,item,color
L3TwC8ZM9Kcs7QBx4,60,color21,size,color,othercolor,item,color
o9ajiSJQsC87WWPMG,42,color21,size,color,othercolor,item,color
o9ajiSJQsC87WWPMG,60,color21,size,color,othercolor,item,color
w2fzmfuovTcBBykSN,39,color21,size,color,othercolor,item,color
w2fzmfuovTcBBykSN,64,color21,size,color,othercolor,item,color
s4qdZmttuex8PYHYK,4,color21,size,color,othercolor,item,color
S7FpNmQk9XcQXJHTf,26,color21,size,color,othercolor,item,color
S7FpNmQk9XcQXJHTf,46,color21,size,color,othercolor,item,color
ZdgvjcuMKtwGjydbR,49,color21,size,color,othercolor,item,color
ZdgvjcuMKtwGjydbR,55,color21,size,color,othercolor,item,color
89kCaivgGxt9As4s5,46,color21,size,color,othercolor,item,color
89kCaivgGxt9As4s5,48,color21,size,color,othercolor,item,color
mJWL79uZrXh3YMtMs,32,color21,size,color,othercolor,item,color
mJWL79uZrXh3YMtMs,53,color21,size,color,othercolor,item,color
9xQZnMmmLAedmSnpb,20,color21,size,color,othercolor,item,color
9xQZnMmmLAedmSnpb,31,color21,size,color,othercolor,item,color
KchWPEsJ7AK6yb5ab,35,color21,size,color,othercolor,item,color
KchWPEsJ7AK6yb5ab,66,color21,size,color,othercolor,item,color
6iNLyBqiCFSzy3vxQ,42,color21,size,color,othercolor,item,color
6iNLyBqiCFSzy3vxQ,66,color21,size,color,othercolor,item,color
TXdqz7vwbJSeKpJHS,31,color22,size,color,othercolor,item,color
TXdqz7vwbJSeKpJHS,32,color22,size,color,othercolor,item,color
g8tXfbQJ5w3Yo5kXq,31,color22,size,color,othercolor,item,color
g8tXfbQJ5w3Yo5kXq,54,color22,size,color,othercolor,item,color
Drac2QY2EJGirNSty,10,color22,size,color,othercolor,item,color
Drac2QY2EJGirNSty,23,color22,size,color,othercolor,item,color
ncA5wQm2wMWx6Qw4m,13,color22,size,color,othercolor,item,color
ncA5wQm2wMWx6Qw4m,19,color22,size,color,othercolor,item,color
RdyH6CPjXhDjFiBn6,7,color22,size,color,othercolor,item,color
RdyH6CPjXhDjFiBn6,19,color22,size,color,othercolor,item,color
ri9WkdRrTvaRgjAbd,5,color22,size,color,othercolor,item,color
ri9WkdRrTvaRgjAbd,38,color22,size,color,othercolor,item,color
xiA5WJQ9BBwufErLv,40,color22,size,color,othercolor,item,color
8mztCuTtp44PNj9aR,56,color22,size,color,othercolor,item,color
8mztCuTtp44PNj9aR,58,color22,size,color,othercolor,item,color
PLenL62JMPMEiyEZd,13,color22,size,color,othercolor,item,color
PLenL62JMPMEiyEZd,42,color22,size,color,othercolor,item,color
5FBHB2gcEAxFrnBTj,3,color22,size,color,othercolor,item,color
5FBHB2gcEAxFrnBTj,16,color22,size,color,othercolor,item,color
krPu8jL2ifeQiJtiz,9,color22,size,color,othercolor,item,color
krPu8jL2ifeQiJtiz,27,color22,size,color,othercolor,item,color
L3TwC8ZM9Kcs7QBx4,4,color22,size,color,othercolor,item,color
o9ajiSJQsC87WWPMG,18,color22,size,color,othercolor,item,color
w2fzmfuovTcBBykSN,4,color22,size,color,othercolor,item,color
w2fzmfuovTcBBykSN,17,color22,size,color,othercolor,item,color
s4qdZmttuex8PYHYK,42,color22,size,color,othercolor,item,color
s4qdZmttuex8PYHYK,70,color22,size,color,othercolor,item,color
S7FpNmQk9XcQXJHTf,51,color22,size,color,othercolor,item,color
S7FpNmQk9XcQXJHTf,57,color22,size,color,othercolor,item,color
ZdgvjcuMKtwGjydbR,52,color22,size,color,othercolor,item,color
ZdgvjcuMKtwGjydbR,54,color22,size,color,othercolor,item,color
89kCaivgGxt9As4s5,49,color22,size,color,othercolor,item,color
89kCaivgGxt9As4s5,71,color22,size,color,othercolor,item,color
mJWL79uZrXh3YMtMs,22,color22,size,color,othercolor,item,color
mJWL79uZrXh3YMtMs,57,color22,size,color,othercolor,item,color
9xQZnMmmLAedmSnpb,16,color22,size,color,othercolor,item,color
9xQZnMmmLAedmSnpb,19,color22,size,color,othercolor,item,color
KchWPEsJ7AK6yb5ab,19,color22,size,color,othercolor,item,color
KchWPEsJ7AK6yb5ab,38,color22,size,color,othercolor,item,color
6iNLyBqiCFSzy3vxQ,14,color22,size,color,othercolor,item,color
6iNLyBqiCFSzy3vxQ,53,color22,size,color,othercolor,item,color
TXdqz7vwbJSeKpJHS,57,color31,size,color,othercolor,item,size_color
g8tXfbQJ5w3Yo5kXq,11,color31,size,color,othercolor,item,color
g8tXfbQJ5w3Yo5kXq,56,color31,size,color,othercolor,item,color
Drac2QY2EJGirNSty,9,color31,size,color,othercolor,item,color
Drac2QY2EJGirNSty,55,color31,size,color,othercolor,item,color
ncA5wQm2wMWx6Qw4m,4,color31,size,color,othercolor,item,color
ncA5wQm2wMWx6Qw4m,16,color31,size,color,othercolor,item,color
RdyH6CPjXhDjFiBn6,41,color31,size,color,othercolor,item,color
RdyH6CPjXhDjFiBn6,49,color31,size,color,othercolor,item,color
ri9WkdRrTvaRgjAbd,7,color31,size,color,othercolor,item,color
ri9WkdRrTvaRgjAbd,26,color31,size,color,othercolor,item,color
8mztCuTtp44PNj9aR,21,color31,size,color,othercolor,item,color
8mztCuTtp44PNj9aR,72,color31,size,color,othercolor,item,color
PLenL62JMPMEiyEZd,37,color31,size,color,othercolor,item,color
MjtKysa8uTdkgCZhY,9,color31,size,color,othercolor,item,color
5FBHB2gcEAxFrnBTj,7,color31,size,color,othercolor,item,size_color
5FBHB2gcEAxFrnBTj,39,color31,size,color,othercolor,item,color
krPu8jL2ifeQiJtiz,7,color31,size,color,othercolor,item,color
krPu8jL2ifeQiJtiz,34,color31,size,color,othercolor,item,color
L3TwC8ZM9Kcs7QBx4,42,color31,size,color,othercolor,item,color
L3TwC8ZM9Kcs7QBx4,71,color31,size,color,othercolor,item,color
o9ajiSJQsC87WWPMG,28,color31,size,color,othercolor,item,color
o9ajiSJQsC87WWPMG,58,color31,size,color,othercolor,item,color
w2fzmfuovTcBBykSN,9,color31,size,color,othercolor,item,color
w2fzmfuovTcBBykSN,37,color31,size,color,othercolor,item,color
s4qdZmttuex8PYHYK,11,color31,size,color,othercolor,item,color
s4qdZmttuex8PYHYK,22,color31,size,color,othercolor,item,color
S7FpNmQk9XcQXJHTf,54,color31,size,color,othercolor,item,color
S7FpNmQk9XcQXJHTf,58,color31,size,color,othercolor,item,color
ZdgvjcuMKtwGjydbR,38,color31,size,color,othercolor,item,color
ZdgvjcuMKtwGjydbR,41,color31,size,color,othercolor,item,color
89kCaivgGxt9As4s5,26,color31,size,color,othercolor,item,color
89kCaivgGxt9As4s5,68,color31,size,color,othercolor,item,color
KkMmp5urRFWCQh3Hb,25,color31,size,color,othercolor,item,color
KkMmp5urRFWCQh3Hb,70,color31,size,color,othercolor,item,color
mJWL79uZrXh3YMtMs,16,color31,size,color,othercolor,item,color
mJWL79uZrXh3YMtMs,33,color31,size,color,othercolor,item,color
9xQZnMmmLAedmSnpb,11,color31,size,color,othercolor,item,color
9xQZnMmmLAedmSnpb,67,color31,size,color,othercolor,item,color
KchWPEsJ7AK6yb5ab,28,color31,size,color,othercolor,item,color
KchWPEsJ7AK6yb5ab,30,color31,size,color,othercolor,item,color
6iNLyBqiCFSzy3vxQ,1,color31,size,color,othercolor,item,color
6iNLyBqiCFSzy3vxQ,32,color31,size,color,othercolor,item,color
v2J2BjboP65oSJMoy,14,color32,size,color,othercolor,item,color
TXdqz7vwbJSeKpJHS,45,color32,size,color,othercolor,item,color
TXdqz7vwbJSeKpJHS,62,color32,size,color,othercolor,item,color
g8tXfbQJ5w3Yo5kXq,8,color32,size,color,othercolor,item,color
g8tXfbQJ5w3Yo5kXq,68,color32,size,color,othercolor,item,color
Drac2QY2EJGirNSty,2,color32,size,color,othercolor,item,color
Drac2QY2EJGirNSty,3,color32,size,color,othercolor,item,color
